Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0614-USA,2022,0614,TC-2022-000320,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Ian',United States of America (the),USA,Northern America,Americas,Charlotte and Lee Counties (Florida Peninsula); North Carolina,,Flood,,,,Yes,,240,Kph,,,,,2022,9,28,2022,10,2,131,,,,,,,,,,,,1;2,3247,29005;29032,"North Carolina (Adm1). Charlotte, Lee (Adm2)."
2022-0648-VEN,2022,0648,,Natural,Hydrological,Landslide,Landslide,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Tejerías Town (Aragua State); Anzoátegui, Barinas, Bolívar, Carabobo, Distrito Capital, Falcón, Guárico, Mérida, Miranda, Lara, La Guaira, Portuguesa, Táchira, Trujillo, Sucre and Zulia",Heavy rains,Flood,,,,,,,,,,,,2022,10,9,2022,10,9,106,,64000,951,64951,,,,,,,,1,3303;3306;3307;3308;3313;3314;3315;3316;3317;3320;3321;3322;3323;3325;67153,,"Anzoategui, Barinas, Bolivar, Carabobo, Distrito Capital, Falcon, Guarico, Lara, Merida, Miranda, Portuguesa, Sucre, Tachira, Trujillo, Zulia (Adm1)."
2022-0682-VEN,2022,0682,,Natural,Hydrological,Landslide,Landslide,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Girardot Municipality (Aragua State),,Flood,,,,,,,,,,,,2022,10,17,2022,10,17,3,,150,,150,,,,,,,,2,,31888,Girardot (Adm2).
2022-0613-VNM,2022,0613,TC-2022-000318,Natural,Meteorological,Storm,Convective storm,Storm/Surge,Tropical cyclone 'Noru' (Karding),Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Ngai, Quang Tri, Thua Thien, Hue, Da Nang, Quang Nam, Kon Tum provinces",,Flood,,,,,,,Kph,,,,,2022,9,28,2022,9,29,2,62,53550,800,54412,,,,,,,,1,3340;3357;3372;3374;3376;3383,,"Da Nang City, Kon Tum, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue (Adm1)."
2022-9254-NER,2022,9254,OT-2022-000263,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Agadez, Diffa, Tillaberi, Tahoua, Maradi",,Food shortage,,,,,,,Km2,,,,,2022,,,2022,5,,,,4400000,,4400000,,,,,,,,1,2202;2203;2205;2207;2208,,"Agadez, Diffa, Maradi, Tahoua, Tillaberi (Adm1)."
2022-9335-TCD,2022,9335,,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,"Bahr El Gazal (Nord, Ouest, Sud), Batha (Est, Ouest), Fitri, Fada, Mourtcha, Kanem, Wadi-Bissam, Mamdi, Assoungha, Djourouf Al Ahmar, Ouara, Aboudeia, Haraze Mangueigne, Abdi, Kimiti, Tibesti (Est, Ouest)",,Food shortage,,,,Yes,,,Km2,,,,,2022,6,,2022,8,,,,2135362,,2135362,,,,,,,,1;2,12904;12909;12915;12926,65469;65496;65571,"Assongha, Batha Est, Kanem, Tibesti (Adm1). Fitri, Hemat-haraze, Mangueigne (Adm2)."
2022-9436-UGA,2022,9436,,Natural,Climatological,Drought,Drought,,,Uganda,UGA,Eastern Africa,Africa,"Napak, Kaabong, Kotido, Moroto districts (Karamoja)",,Famine,,,,,,,Km2,,,,,2022,7,,2022,7,,2465,,518000,,518000,,,,,,,,1,765;772;775;47074,,"Kaabong, Kotido, Moroto, Napak (Adm1)."
2022-0622-MEX,2022,0622,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Mexico; Coalcomán Municipality (Michoacán); Colima, Guerrero Jalisco States.",,,,,,,,7,Richter,18.247,-102.952,01:20,,2022,9,22,2022,9,22,3,5,18000,,18005,,,,,,,,1,2035;2039;2041;2042;2043,,"Colima, Guerrero, Jalisco, Mexico, Michoacan (Adm1)."
2022-0579-MEX,2022,0579,,Natural,Hydrological,Flood,Flash flood,,,Mexico,MEX,Central America,Americas,Nuevo León State,Heavy rains,,,,,,,,Km2,,,,,2022,9,3,2022,9,5,5,,1050,,1050,,,,,,,,1,2046,,Nuevo Leon (Adm1).
2022-0572-MEX,2022,0572,,Natural,Hydrological,Flood,,,,Mexico,MEX,Central America,Americas,"Culiacán, Mocorito, Guasave, and Elota (Sinaloa State); Oaxaca, Coahuila, Tamaulipas, Veracruz and Morelos states",Heavy rains,,,,,Yes,,,Km2,,,,,2022,8,28,2022,9,1,8,,2100,,2100,,,,,,,,1;2,2044;2047;2055;2057,20881;20884;20886;20892,"Morelos, Oaxaca, Tamaulipas, Veracruz (Adm1). Culiacan, Elota, Guasave, Mocorito (Adm2)."
